,Day,Year,addrcode,temperature
10863,241,2016,800705,31.9
10864,241,2016,800708,31.93
10865,241,2016,810304,28.15
10866,241,2016,810405,26.16
10867,241,2016,810803,25.08
10868,241,2016,810403,28.21
10869,241,2016,810305,26.17
10870,241,2016,810303,28.2
10871,241,2016,810404,27.85
10872,241,2016,810106,26.66
10873,241,2016,810801,28.67
10874,241,2016,810115,25.55
10875,241,2016,810805,27.69
10876,241,2016,810117,26.17
10877,241,2016,810806,25.35
10878,241,2016,810116,26.39
10879,241,2016,810118,28.29
10880,241,2016,810804,27.65
10881,241,2016,810807,26.51
10882,241,2016,810204,26.58
10883,241,2016,810203,26.04
10884,241,2016,810201,28.66
10885,241,2016,810111,27.48
10886,241,2016,810506,27.15
10887,241,2016,810508,27.15
10888,241,2016,810509,27.23
10889,241,2016,810501,27.87
10890,241,2016,810202,28.22
10891,241,2016,810502,27.91
10892,241,2016,810505,28.87
10893,241,2016,810504,27.31
10894,241,2016,810105,28.3
10895,241,2016,810407,27.63
10896,241,2016,810103,27.23
10897,241,2016,810808,27.65
10898,241,2016,810507,27.65
10899,241,2016,810503,27.76
10900,241,2016,810205,27.24
10901,241,2016,810604,27.41
10902,241,2016,801611,29.45
10903,241,2016,800606,32.79
10904,241,2016,800601,31.13
10905,241,2016,800605,32.79
10906,241,2016,801906,27.87
10907,241,2016,800706,31.0
10908,241,2016,800907,29.43
10909,241,2016,801304,
10910,241,2016,800603,
10911,241,2016,801701,
10912,241,2016,800611,
